ID;Trans;Factors;FRED Mnemonic;Description;type;S;M;L;XL;XS
119;6;1;DOTSRG3Q086SBEA;Personal consumption expenditures:  Other services ;slow;;;;x;
120;6;0;CPIAUCSL;Consumer Price Index for All Urban Consumers:  All Items;slow;x;x;x;x;x
121;6;0;CPILFESL;Consumer Price Index for All Urban Consumers:  All Items Less Food & Energy;slow;;;x;x;
122;6;0;WPSFD49207;Producer Price Index by Commodity for Finished Goods ;slow;;;x;x;
123;6;0;PPIACO;Producer Price Index for All Commodities ;slow;;;x;x;
124;6;1;WPSFD49502;Producer Price Index by Commodity for Finished Consumer Goods ;slow;;;;x;
125;6;1;WPSFD4111;Producer Price Index by Commodity for Finished Consumer Foods;slow;;;;x;
126;6;1;PPIIDC;Producer Price Index by Commodity Industrial Commodities ;slow;;;;x;
127;6;1;WPSID61;Producer Price Index by Commodity Intermediate Materials:  Supplies & Components;slow;;;;x;
128;5;1;WPU0531;Producer Price Index by Commodity for Fuels and Related Products and Power;slow;;;;;
129;5;1;WPU0561;Producer Price Index by Commodity for Fuels and Related Products and Power;slow;;;x;x;
130;5;0;OILPRICEx;Real Crude Oil Prices:  West Texas Intermediate (WTI) - Cushing, Oklahoma;slow;;;x;x;
205;6;0;WPSID62;Producer Price Index:  Crude Materials for Further Processing ;slow;;;;x;
206;6;0;PPICMM;Producer Price Index:  Commodities:  Metals and metal products:  Primary nonferrous metals;slow;;;;x;
207;6;0;CPIAPPSL;Consumer Price Index for All Urban Consumers:  Apparel;slow;;;x;x;
208;6;0;CPITRNSL;Consumer Price Index for All Urban Consumers:  Transportation;slow;;;x;x;
209;6;0;CPIMEDSL;Consumer Price Index for All Urban Consumers:  Medical Care;slow;;;x;x;
210;6;0;CUSR0000SAC;Consumer Price Index for All Urban Consumers:  Commodities;slow;;;x;x;
211;6;0;CUSR0000SAD ;Consumer Price Index for All Urban Consumers:  Durables;slow;;;x;x;
212;6;0;CUSR0000SAS ;Consumer Price Index for All Urban Consumers:  Services;slow;;;x;x;
213;6;0;CPIULFSL;Consumer Price Index for All Urban Consumers:  All Items Less Food;slow;;;;;
214;6;0;CUSR0000SA0L2      ;Consumer Price Index for All Urban Consumers:  All items less shelter;slow;;;;;
215;6;0;CUSR0000SA0L5 ;Consumer Price Index for All Urban Consumers:  All items less medical;slow;;;;;
233;6;0;CUSR0000SEHC     ;CPI for All Urban Consumers:  Owners’ equivalent rent of residences;slow;;;;;
131;5;0;AHETPIx;Real Average Hourly Earnings of Production and Nonsupervisory Employees: Total Private;slow;;;;;
132;5;0;CES2000000008x;Real Average Hourly Earnings of Production and Nonsupervisory Employees: Construction;slow;;;x;x;
133;5;0;CES3000000008x;Real Average Hourly Earnings of Production and Nonsupervisory Employees: Manufacturing;slow;;;x;x;
134;5;1;COMPRMS;Manufacturing Sector:  Real Compensation Per Hour (Index 2012=100);slow;;;;;
135;5;1;COMPRNFB;Nonfarm Business Sector:  Real Compensation Per Hour (Index 2012=100);slow;;;x;x;
136;5;1;RCPHBS;Business Sector:  Real Compensation Per Hour (Index 2012=100);slow;;;;;
137;5;1;OPHMFG;Manufacturing Sector:  Real Output Per Hour of All Persons (Index 2012=100);slow;;;;;
138;5;1;OPHNFB;Nonfarm Business Sector:  Real Output Per Hour of All Persons (Index 2012=100);slow;;;;;
139;5;0;OPHPBS;Business Sector:  Real Output Per Hour of All Persons (Index 2012=100);slow;;;;;
140;5;0;ULCBS;Business Sector:  Unit Labor Cost (Index 2012=100);slow;;;;;
141;5;1;ULCMFG;Manufacturing Sector:  Unit Labor Cost (Index 2012=100);slow;;;;;
142;5;1;ULCNFB;Nonfarm Business Sector:  Unit Labor Cost (Index 2012=100);slow;;;;x;
143;5;1;UNLPNBS;Nonfarm Business Sector:  Unit Nonlabor Payments (Index 2012=100);slow;;;;;
216;6;0;CES0600000008;Average Hourly Earnings of Production and Nonsupervisory Employees:;slow;;x;x;x;
144;2;1;FEDFUNDS;Effective Federal Funds Rate (Percent);policy;x;x;x;x;x
145;2;1;TB3MS;3-Month Treasury Bill: Secondary Market Rate (Percent);fast;;;x;x;
146;2;0;TB6MS;6-Month Treasury Bill: Secondary Market Rate (Percent);fast;;;x;x;
147;2;0;GS1;1-Year Treasury Constant Maturity Rate (Percent);fast;x;;x;x;
148;2;0;GS10;10-Year Treasury Constant Maturity Rate (Percent);fast;x;;x;x;
149;2;0;MORTGAGE30US;30-Year Conventional Mortgage Rate (Percent);fast;;;;;
150;2;0;AAA;Moody’s Seasoned Aaa Corporate Bond Yield (Percent);fast;;;;x;
151;2;0;BAA;Moody’s Seasoned Baa Corporate Bond Yield (Percent);fast;;;x;x;
152;1;1;BAA10YM;Moody’s Seasoned Baa Corporate Bond Yield Relative to Yield on 10-Year Treasury;fast;;;;x;
153;1;1;MORTG10YRx;30-Year Conventional Mortgage Rate Relative to 10-Year Treasury Constant Maturity Constant Maturity;fast;;;;;
154;1;1;TB6M3Mx;6-Month Treasury Bill Minus 3-Month Treasury Bill, secondary market (Percent);fast;;;x;x;
155;1;1;GS1TB3Mx;1-Year Treasury Constant Maturity Minus 3-Month Treasury Bill, secondary market;fast;;;x;x;
156;1;1;GS10TB3Mx;10-Year Treasury Constant Maturity Minus 3-Month Treasury Bill, secondary market;fast;;x;x;x;
157;1;1;CPF3MTB3Mx;3-Month Commercial Paper Minus 3-Month Treasury Bill, secondary market;fast;;x;x;x;
201;2;0;GS5;5-Year Treasury Constant Maturity Rate;fast;;;x;x;
202;1;0;TB3SMFFM;3-Month Treasury Constant Maturity Minus Federal Funds Rate;fast;;;x;x;
203;1;0;T5YFFM;5-Year Treasury Constant Maturity Minus Federal Funds Rate;fast;;;x;x;
204;1;0;AAAFFM;Moody’s Seasoned Aaa Corporate Bond Minus Federal Funds Rate;fast;;x;x;x;
225;2;0;CP3M;3-Month AA Financial Commercial Paper Rate;fast;;;;;
226;1;0;COMPAPFF;3-Month Commercial Paper Minus Federal Funds Rate;fast;;;;;
158;5;0;AMBSLREALx;St. Louis Adjusted Monetary Base;fast;;;;x;
159;5;0;IMFSLx; Real Institutional Money Funds;fast;;;;;
160;5;0;M1REAL; Real M1 Money Stock;fast;;;x;x;
161;5;0;M2REAL;Real M2 Money Stock;fast;;x;x;x;
162;5;0;MZMREALx;Real MZM Money Stock;fast;;;;x;
163;5;1;BUSLOANSx;Real Commercial and Industrial Loans, All Commercial Banks;fast;;x;x;x;
164;5;1;CONSUMERx;Real Consumer Loans at All Commercial Banks ;fast;;x;x;x;
165;5;1;NONREVSLx;Total Real Nonrevolving Credit Owned and Securitized, Outstanding;fast;;x;x;x;
166;5;1;REALLNx;Real Real Estate Loans, All Commercial Banks;fast;;;x;x;
167;5;1;REVOLSLx;Total Real Revolving Credit Owned and Securitized, Outstanding;fast;;;;;
168;5;0;TOTALSLx;Total Consumer Credit Outstanding;fast;;;x;x;
169;1;1;DRIWCIL;FRB Senior Loans Officer Opions.  Net Percentage of Domestic Respondents Reporting Increased Willingness to Make Consumer Installment Loans;fast;;;;;
199;6;0;TOTRESNS;Total Reserves of Depository Institutions ;fast;;x;x;x;
200;7;0;NONBORRES;Reserves Of Depository Institutions, Nonborrowed;fast;;x;x;x;
217;6;0;DTCOLNVHFNM;Consumer Motor Vehicle Loans Outstanding Owned by Finance Companies;fast;;;;x;
218;6;0;DTCTHFNM;Total Consumer Loans and Leases Outstanding Owned and Securitized by Finance Companies ;fast;;;;x;
219;6;0;INVEST;Securities in Bank Credit at All Commercial Banks ;fast;;;;x;
170;5;0;TABSHNOx;Real Total Assets of Households and Nonprofit Organizations;fast;;;;x;
171;5;1;TLBSHNOx   ;Real Total Liabilities of Households and Nonprofit Organizations;fast;;;;x;
172;5;0;LIABPIx  ;Liabilities of Households and Nonprofit Organizations Relative to Personal Disposable Income;fast;;;;;
173;5;1;TNWBSHNOx ;Real Net Worth of Households and Nonprofit Organizations;fast;;;;;
174;5;0;NWPIx; Net Worth of Households and Nonprofit Organizations Relative to Disposable Personal Income;fast;;;;;
175;5;1;TARESAx;Real Assets of Households and Nonprofit Organizations excluding Real Estate Assets;fast;;;;;
176;5;1;HNOREMQ027Sx ;Real Real Estate Assets of Households and Nonprofit Organizations;fast;;;;;
177;5;1;TFAABSHNOx;Real Total Financial Assets of Households and Nonprofit Organizations;fast;;;;;
224;2;0;CONSPIx;Nonrevolving consumer credit to Personal Income;fast;;;;;
182;5;1;TWEXMMTH; Trade Weighted U.S. Dollar Index:  Major Currencies;fast;;;;;
183;5;1;EXUSEU;U.S. / Euro Foreign Exchange Rate (U.S. Dollars to One Euro);fast;;;;;
184;5;1;EXSZUSx;Switzerland / U.S. Foreign Exchange Rate;fast;;;x;x;
185;5;1;EXJPUSx;Japan / U.S. Foreign Exchange Rate;fast;;;x;x;
186;5;1;EXUSUKx;U.S. / U.K. Foreign Exchange Rate;fast;;;x;x;
187;5;1;EXCAUSx;Canada / U.S. Foreign Exchange Rate;fast;;;x;x;
188;1;1;UMCSENTx;Cons.  Expectations    University of Michigan:  Consumer Sentiment ;fast;;;;;
189;2;1;USEPUINDXM;Economic Policy Uncertainty Index for United States;fast;;;;;
178;1;1;VXOCLSX;CBOE S&P 100 Volatility Index: VXO;fast;;;;;
231;5;0;NIKKEI225;Nikkei Stock Average;fast;;;;;
232;5;0;NASDAQCOM;NASDAQ Composite;fast;;;;;
245;5;0;S.P.500;S&P’s Common Stock Price Index:  Composite;fast;x;x;x;x;
246;5;0;S.P..indust;S&P’s Common Stock Price Index:  Industrials;fast;;;;x;
247;2;0;S.P.div.yield;S&P’s Composite Common Stock:  Dividend Yield;fast;;;;x;
248;5;0;S.P.PE.ratio;S&P’s Composite Common Stock:  Price-Earnings Ratio;fast;;;;;
192;2;0;GFDEGDQ188S;Federal Debt:  Total Public Debt as Percent of GDP;slow;;;;;
193;2;0;GFDEBTNx;Real Federal Debt:  Total Public Debt;slow;;;;;
234;5;0;TLBSNNCBx;Real Nonfinancial Corporate Business Sector Liabilities;slow;;;;;
235;1;0;TLBSNNCBBDIx; Nonfinancial Corporate Business Sector Liabilities to Disposable Business Income;slow;;;;;
236;5;0;TTAABSNNCBx;Real Nonfinancial Corporate Business Sector Assets ;slow;;;;;
237;5;0;TNWMVBSNNCBx; Real Nonfinancial Corporate Business Sector Net Worth;slow;;;;;
238;2;0;TNWMVBSNNCBBDIx ;Nonfinancial Corporate Business Sector Net Worth to Disposable Business Income;slow;;;;;
239;5;0;NNBTILQ027Sx;Real Nonfinancial Noncorporate Business Sector Liabilities;slow;;;;;
240;1;0;NNBTILQ027SBDIx ;Nonfinancial Noncorporate Business Sector Liabilities to Disposable Business;slow;;;;;
241;5;0;NNBTASQ027Sx;Real Nonfinancial Noncorporate Business Sector Assets;slow;;;;;
242;5;0;TNWBSNNBx;Real Nonfinancial Noncorporate Business Sector Net Worth;slow;;;;;
243;2;0;TNWBSNNBBDIx;Nonfinancial Noncorporate Business Sector Net Worth to Disposable Business Income;slow;;;;;
244;5;0;CNCFx;Real Disposable Business Income  (Corporate cash flow with IVA minus taxes on corporate income);slow;;;;;
